S,I,R
0.417409004757603,7.67502204802861e-06,0.582583320220348
0.417407445057805,6.74363715263051e-06,0.582585811305042
0.417406086082694,5.93209530812046e-06,0.582587981821997
0.417404911219862,5.23047790500823e-06,0.582589858302232
0.417403901279966,4.62732929120937e-06,0.582591471390743
0.41740303449673,4.10965677204525e-06,0.582592855846497
0.41740228652695,3.66293061024293e-06,0.58259405054244
0.417401630450486,3.27108402593535e-06,0.582595098465488
0.417401036770268,2.91651319666114e-06,0.582596046716535
0.417400475174627,2.58112791648459e-06,0.582596943697457
0.417399949184992,2.26701460335783e-06,0.582597783800405
0.417399468806555,1.98013958343473e-06,0.582598551053861
0.417399037052857,1.72230171567988e-06,0.582599240645427
0.417398655589188,1.49449489697761e-06,0.582599849915915
0.417398324732582,1.29690806213192e-06,0.582600378359355
0.417398043451823,1.12892518386655e-06,0.582600827622993
0.41739780936744,9.89125272824953e-07,0.582601201507287
0.41739761875171,8.75282377570275e-07,0.582601505965912
0.417397466528658,7.84365584585385e-07,0.582601749105757
0.417397346274054,7.12539018272869e-07,0.582601941186928
0.417397250215417,6.55161840955014e-07,0.582602094622742
0.417397169232012,6.06788252873835e-07,0.582602223979735
0.417397092854852,5.61167492191042e-07,0.582602345977655
0.417397009266697,5.1124383498806e-07,0.582602479489468
0.417396909654636,4.51754924108043e-07,0.58260263859044
0.417396807331857,3.90647722346582e-07,0.582602802020421
0.41739670772838,3.31164454711078e-07,0.582602961107165
0.417396613825359,2.75085423936371e-07,0.582603111089216
0.417396528087528,2.23882535802569e-07,0.582603248029936
0.417396452463202,1.78719299135049e-07,0.582603368817499
0.417396388384276,1.40450825804457e-07,0.582603471164898
0.417396336766228,1.09623830726705e-07,0.582603553609941
0.417396298008115,8.64766318629749e-08,0.582603615515253
0.417396271992578,7.09391502197172e-08,0.582603657068272
0.417396258085835,6.26329098486505e-08,0.582603679281254
0.417396255137689,6.08710378467609e-08,0.582603683991273
0.417396261481521,6.46582643563068e-08,0.582603673860214
0.417396274934295,7.26909225648076e-08,0.582603652374782
0.417396292796553,8.3356948705053e-08,0.582603623846497
0.417396311852423,9.47358820551137e-08,0.582603593411695
0.417396328369609,1.04598864938308e-07,0.582603567031525
0.4173963380994,1.10408642723237e-07,0.582603551491957
0.417396336276662,1.09319563823768e-07,0.582603554403774
0.417396318348262,9.86125541094878e-08,0.582603583039183
0.417396290146496,8.17702935044182e-08,0.58260362808321
0.41739625633647,6.15786838364087e-08,0.582603682084845
0.41739621929352,3.94562997494092e-08,0.58260374125018
0.417396181150188,1.66767184281741e-08,0.582603802173093
0.417396143796225,-5.63148040173682e-09,0.582603861835255
0.41739610887859,-2.64847144739592e-08,0.582603917606124
0.417396077801449,-4.50443989813238e-08,0.582603967242949
0.417396051726179,-6.06169465758563e-08,0.582604008890767
0.417396031571362,-7.2653767368777e-08,0.582604041082405
